"","HostName","ParName","HostParPair"
"1","Acinonyx jubatus","Alphacoronavirus Alphacoronavirus 1","Acinonyx jubatus, Alphacoronavirus Alphacoronavirus 1"
"2","Acinonyx jubatus","Bacillus anthracis","Acinonyx jubatus, Bacillus anthracis"
"3","Acinonyx jubatus","Bartonella henselae","Acinonyx jubatus, Bartonella henselae"
"4","Acinonyx jubatus","Cryptococcus gattii","Acinonyx jubatus, Cryptococcus gattii"
"5","Acinonyx jubatus","Lentivirus Feline immunodeficiency virus","Acinonyx jubatus, Lentivirus Feline immunodeficiency virus"
"6","Acinonyx jubatus","Lyssavirus Rabies lyssavirus","Acinonyx jubatus, Lyssavirus Rabies lyssavirus"
"7","Acinonyx jubatus","Morbillivirus Canine distemper virus","Acinonyx jubatus, Morbillivirus Canine distemper virus"
"8","Acinonyx jubatus","Mycobacterium bovis","Acinonyx jubatus, Mycobacterium bovis"
"9","Acinonyx jubatus","Neospora caninum","Acinonyx jubatus, Neospora caninum"
"10","Acinonyx jubatus","Protoparvovirus Carnivore protoparvovirus 1","Acinonyx jubatus, Protoparvovirus Carnivore protoparvovirus 1"
"11","Acinonyx jubatus","Trichinella nelsoni","Acinonyx jubatus, Trichinella nelsoni"
"12","Acinonyx jubatus","Varicellovirus Felid alphaherpesvirus 1","Acinonyx jubatus, Varicellovirus Felid alphaherpesvirus 1"
"13","Acinonyx jubatus","Vesivirus Feline calicivirus","Acinonyx jubatus, Vesivirus Feline calicivirus"
"14","Addax nasomaculatus","Longistrongylus curvispiculum","Addax nasomaculatus, Longistrongylus curvispiculum"
"15","Aepyceros melampus","Agriostomum gorgonis","Aepyceros melampus, Agriostomum gorgonis"
"16","Aepyceros melampus","Amblyomma hebraeum","Aepyceros melampus, Amblyomma hebraeum"
"17","Aepyceros melampus","Amblyomma marmoreum","Aepyceros melampus, Amblyomma marmoreum"
"18","Aepyceros melampus","Amblyomma tholloni","Aepyceros melampus, Amblyomma tholloni"
"19","Aepyceros melampus","Amblyomma variegatum","Aepyceros melampus, Amblyomma variegatum"
"20","Aepyceros melampus","Anaplasma platys","Aepyceros melampus, Anaplasma platys"
"21","Aepyceros melampus","Aphthovirus Foot-and-mouth disease virus","Aepyceros melampus, Aphthovirus Foot-and-mouth disease virus"
"22","Aepyceros melampus","Bacillus anthracis","Aepyceros melampus, Bacillus anthracis"
"23","Aepyceros melampus","Brucella abortus","Aepyceros melampus, Brucella abortus"
"24","Aepyceros melampus","Cooperia connochaeti","Aepyceros melampus, Cooperia connochaeti"
"25","Aepyceros melampus","Cooperia fuelleborni","Aepyceros melampus, Cooperia fuelleborni"
"26","Aepyceros melampus","Cooperia hungi","Aepyceros melampus, Cooperia hungi"
