hostName,Order.1.2,Family.1.2,Genus.1.2,IUCN.Status.1.2,Mass.g,Group,parasiteName,ParType,ParPhylum,Prevalence,HostsSampled,SamplingType,HostEnvironment
Acinonyx_jubatus,Carnivora,Felidae,Acinonyx,VU,46700,carnivores,Alphacoronavirus Alphacoronavirus 1,Virus,RNA virus,0.581,43,Serology,terrestrial
Acinonyx_jubatus,Carnivora,Felidae,Acinonyx,VU,46700,carnivores,Alphacoronavirus Alphacoronavirus 1,Virus,RNA virus,0.163,43,PCR,terrestrial
Acinonyx_jubatus,Carnivora,Felidae,Acinonyx,VU,46700,carnivores,Alphacoronavirus Alphacoronavirus 1,Virus,RNA virus,0.462,13,Serology,terrestrial
Acinonyx_jubatus,Carnivora,Felidae,Acinonyx,VU,46700,carnivores,Alphacoronavirus Alphacoronavirus 1,Virus,RNA virus,0.545,11,Serology,terrestrial
Acinonyx_jubatus,Carnivora,Felidae,Acinonyx,VU,46700,carnivores,Alphacoronavirus Alphacoronavirus 1,Virus,RNA virus,0.2,10,Serology,terrestrial
Acinonyx_jubatus,Carnivora,Felidae,Acinonyx,VU,46700,carnivores,Alphacoronavirus Alphacoronavirus 1,Virus,RNA virus,0.286,7,Serology,terrestrial
Acinonyx_jubatus,Carnivora,Felidae,Acinonyx,VU,46700,carnivores,Alphacoronavirus Alphacoronavirus 1,Virus,RNA virus,0.7,10,Serology,terrestrial
Acinonyx_jubatus,Carnivora,Felidae,Acinonyx,VU,46700,carnivores,Alphacoronavirus Alphacoronavirus 1,Virus,RNA virus,0.5,6,Serology,terrestrial
Acinonyx_jubatus,Carnivora,Felidae,Acinonyx,VU,46700,carnivores,Alphacoronavirus Alphacoronavirus 1,Virus,RNA virus,0.5,2,Serology,terrestrial
Acinonyx_jubatus,Carnivora,Felidae,Acinonyx,VU,46700,carnivores,Alphacoronavirus Alphacoronavirus 1,Virus,RNA virus,0.231,13,Serology,terrestrial
Acinonyx_jubatus,Carnivora,Felidae,Acinonyx,VU,46700,carnivores,Alphacoronavirus Alphacoronavirus 1,Virus,RNA virus,0.529,17,Serology,terrestrial
Acinonyx_jubatus,Carnivora,Felidae,Acinonyx,VU,46700,carnivores,Alphacoronavirus Alphacoronavirus 1,Virus,RNA virus,0.071,14,Serology,terrestrial
Acinonyx_jubatus,Carnivora,Felidae,Acinonyx,VU,46700,carnivores,Alphacoronavirus Alphacoronavirus 1,Virus,RNA virus,0.351,37,Serology,terrestrial
Acinonyx_jubatus,Carnivora,Felidae,Acinonyx,VU,46700,carnivores,Alphacoronavirus Alphacoronavirus 1,Virus,RNA virus,0.25,4,Serology,terrestrial
Acinonyx_jubatus,Carnivora,Felidae,Acinonyx,VU,46700,carnivores,Alphacoronavirus Alphacoronavirus 1,Virus,RNA virus,0.059,17,Serology,terrestrial
Acinonyx_jubatus,Carnivora,Felidae,Acinonyx,VU,46700,carnivores,Alphacoronavirus Alphacoronavirus 1,Virus,RNA virus,0.292,72,Serology,terrestrial
Acinonyx_jubatus,Carnivora,Felidae,Acinonyx,VU,46700,carnivores,Alphacoronavirus Alphacoronavirus 1,Virus,RNA virus,0.5,4,Serology,terrestrial
Acinonyx_jubatus,Carnivora,Felidae,Acinonyx,VU,46700,carnivores,Alphacoronavirus Alphacoronavirus 1,Virus,RNA virus,0.357,14,Serology,terrestrial
Acinonyx_jubatus,Carnivora,Felidae,Acinonyx,VU,46700,carnivores,Alphacoronavirus Alphacoronavirus 1,Virus,RNA virus,0.03,67,Serology,terrestrial
Acinonyx_jubatus,Carnivora,Felidae,Acinonyx,VU,46700,carnivores,Bacillus anthracis,Bacteria,Firmicutes,0.0435,23,Serology,terrestrial
Acinonyx_jubatus,Carnivora,Felidae,Acinonyx,VU,46700,carnivores,Bartonella henselae,Bacteria,Proteobacteria,0.143,7,Serology,terrestrial
Acinonyx_jubatus,Carnivora,Felidae,Acinonyx,VU,46700,carnivores,Bartonella henselae,Bacteria,Proteobacteria,0.333,36,Serology,terrestrial
Acinonyx_jubatus,Carnivora,Felidae,Acinonyx,VU,46700,carnivores,Bartonella henselae,Bacteria,Proteobacteria,0.25,28,Serology,terrestrial
Acinonyx_jubatus,Carnivora,Felidae,Acinonyx,VU,46700,carnivores,Bartonella henselae,Bacteria,Proteobacteria,0.311,74,Serology,terrestrial
Acinonyx_jubatus,Carnivora,Felidae,Acinonyx,VU,46700,carnivores,Bartonella henselae,Bacteria,Proteobacteria,0.294,34,Serology,terrestrial
Acinonyx_jubatus,Carnivora,Felidae,Acinonyx,VU,46700,carnivores,Bartonella henselae,Bacteria,Proteobacteria,0.357,42,Serology,terrestrial
Acinonyx_jubatus,Carnivora,Felidae,Acinonyx,VU,46700,carnivores,Bartonella henselae,Bacteria,Proteobacteria,0.25,52,Serology,terrestrial
Acinonyx_jubatus,Carnivora,Felidae,Acinonyx,VU,46700,carnivores,Bartonella henselae,Bacteria,Proteobacteria,0.6,15,Serology,terrestrial
Acinonyx_jubatus,Carnivora,Felidae,Acinonyx,VU,46700,carnivores,Cryptococcus gattii,Fungus,Basidiomycota,1,1,DirectOther,terrestrial
Acinonyx_jubatus,Carnivora,Felidae,Acinonyx,VU,46700,carnivores,Lentivirus Feline immunodeficiency virus,Virus,RNA virus,0.29,41,Serology,terrestrial
Acinonyx_jubatus,Carnivora,Felidae,Acinonyx,VU,46700,carnivores,Lentivirus Feline immunodeficiency virus,Virus,RNA virus,0.33,3,DirectBlood,terrestrial
Acinonyx_jubatus,Carnivora,Felidae,Acinonyx,VU,46700,carnivores,Lyssavirus Rabies lyssavirus,Virus,RNA virus,0.049,42,Serology,terrestrial
