hostName,logNumHostCitations,combIUCN,groupSizeCar,bacteriaRich,virusRich,protozoaRich,fungusRich,prionRich,helminthRich,arthropodRich,logHostSpeciesRange,logHostMass,parRich_micro,parRich_alltypes,logNumHostCitations_c,logHostSpeciesRange_c,logHostMass_c
Acinonyx_jubatus,2.3978952727983707,threatened,non_group,3,7,1,1,0,1,0,9.267316652564212,3.8437441646748516,12,13,0.6672337591789435,0.5663118982994337,2.0951417963172823
Ailuropoda_melanoleuca,0,threatened,non_group,0,0,0,0,0,1,0,3.5892524703038706,4.685828089005546,0,1,-1.7306615136194272,-5.111752283960907,2.9372257206479766
Arctictis_binturong,0,threatened,non_group,0,0,0,0,0,0,1,7.977227077903829,2.2900063107871858,0,1,-1.7306615136194272,-0.7237776763609487,0.5414039424296166
Bassariscus_astutus,0,not_threatened,non_group,0,2,1,0,0,0,0,8.272844389589652,0.12177505692592086,3,3,-1.7306615136194272,-0.42816036467512575,-1.6268273114316483
Canis_adustus,1.6094379124341003,not_threatened,non_group,0,4,0,0,0,1,1,9.266854250370002,2.3272679494392654,4,6,-0.12122360118532693,0.5658494961052245,0.5786655810816963
Canis_aureus,2.5649493574615367,not_threatened,non_group,6,2,2,0,0,17,3,10.1557831049129,2.3365226440217426,10,30,0.8342878438421095,1.4547783506481213,0.5879202756641735
Canis_latrans,4.2626798770413155,not_threatened,non_group,14,9,9,0,0,43,8,9.74678075863099,2.595724745725065,32,83,2.532018363421888,1.0457760043662123,0.8471223773674958
Canis_lupus,4.0943445622221,not_threatened,group,5,8,5,1,0,44,9,10.835719367493052,3.4714476844730964,19,72,2.363683048602673,2.134714613228274,1.7228453161155273
Canis_mesomelas,2.0794415416798357,not_threatened,non_group,1,5,0,0,0,0,0,8.740141523676447,2.1400661634962708,6,6,0.34878002806040853,0.03913676941166955,0.39146379513870166
Canis_simensis,1.3862943611198906,threatened,group,0,4,0,0,0,0,0,2.4338764786752214,2.302585092994046,4,4,-0.34436715249953664,-6.267128275589556,0.5539827246364768
Caracal_caracal,0,not_threatened,non_group,0,6,0,0,0,0,0,10.189008428784895,2.621031551358861,6,6,-1.7306615136194272,1.488003674520117,0.872429183001292
Catopuma_temminckii,0,not_threatened,non_group,0,0,0,0,0,0,2,8.142437776418637,2.4423470353692043,0,2,-1.7306615136194272,-0.5585669778461408,0.6937446670116352
Cerdocyon_thous,2.995732273553991,not_threatened,non_group,0,4,5,0,0,4,12,8.86667796794355,1.6563214983329508,9,25,1.2650707599345636,0.1656732136787724,-0.09228087002461827
Chrotogale_owstoni,0,threatened,non_group,0,0,0,0,0,0,1,3.327909585892323,1.1786549963416462,0,1,-1.7306615136194272,-5.373095168372455,-0.5699473720159229
Chrysocyon_brachyurus,1.0986122886681098,not_threatened,non_group,1,5,1,0,0,4,9,8.52492343593808,3.146296529845829,7,20,-0.6320492249513174,-0.17608131832669827,1.3976941614882599
Civettictis_civetta,0,not_threatened,non_group,0,1,0,0,0,0,0,9.561537872071323,2.4849066497880004,1,1,-1.7306615136194272,0.8605331178065452,0.7363042814304313
Conepatus_chinga,1.3862943611198906,not_threatened,non_group,0,0,1,0,0,1,0,8.085580700552534,0.6510222542592742,1,2,-0.34436715249953664,-0.6154240537122444,-1.097580114098295
Conepatus_leuconotus,0,not_threatened,non_group,0,0,0,0,0,8,0,7.827862319478111,1.252762968495368,0,8,-1.7306615136194272,-0.8731424347866668,-0.49583939986220105
Crocuta_crocuta,2.5649493574615367,not_threatened,group,2,7,1,0,0,2,0,9.601716697641246,4.143133139088686,10,12,0.8342878438421095,0.9007119433764679,2.3945307707311168
Cuon_alpinus,0,threatened,group,0,0,0,0,0,0,3,9.263528185628273,2.546315277916644,0,3,-1.7306615136194272,0.5625234313634948,0.7977129095590747
Cynictis_penicillata,1.0986122886681098,not_threatened,group,0,1,1,0,0,0,9,7.711382000603876,-0.17912666589743548,2,11,-0.6320492249513174,-0.9896227536609024,-1.9277290342550046
Eira_barbara,0,not_threatened,non_group,0,0,0,0,0,0,1,9.503889300720958,1.3635373739972745,0,1,-1.7306615136194272,0.8028845464561805,-0.3850649943602946
Felis_silvestris,3.044522437723423,not_threatened,non_group,5,6,4,0,0,12,9,10.376953275563036,1.7047480922384253,15,36,1.3138609241039958,1.6759485212982579,-0.04385427611914383
Galictis_cuja,1.0986122886681098,not_threatened,non_group,0,0,1,0,0,1,1,8.426155830107605,0,1,3,-0.6320492249513174,-0.27484892415717255,-1.748602368357569
Galictis_vittata,0.6931471805599453,not_threatened,non_group,0,0,0,1,0,0,1,9.218154660738684,1.1631508098056809,1,2,-1.037514333059482,0.5171499064739056,-0.5854515585518882
Genetta_tigrina,0,not_threatened,non_group,0,0,0,0,0,0,1,6.375894969247288,0.7997569156182036,0,1,-1.7306615136194272,-2.3251097850174895,-0.9488454527393655
Gulo_gulo,1.3862943611198906,not_threatened,non_group,0,2,0,0,0,3,1,10.106263158391952,2.8339542459911686,2,6,-0.34436715249953664,1.4052584041271743,1.0853518776335995
Herpestes_ichneumon,2.302585092994046,not_threatened,group,3,1,5,0,0,4,6,9.576998814534859,1.6438393391514328,9,19,0.5719235793746187,0.8759940602700809,-0.10476302920613634
Herpestes_javanicus,0,not_threatened,non_group,0,0,0,0,0,0,5,8.836417243942856,-0.2876820724517809,0,5,-1.7306615136194272,0.13541248967807817,-2.03628444080935
Hyaena_hyaena,1.0986122886681098,not_threatened,group,0,0,0,0,0,3,1,10.096350973113937,3.73062342348473,0,4,-0.6320492249513174,1.3953462188491592,1.9820210551271609
Leopardus_pardalis,2.0794415416798357,not_threatened,non_group,1,7,1,0,0,15,4,9.682842377678737,2.47654680344352,9,28,0.34878002806040853,0.9818376234139592,0.727944435085951
Leptailurus_serval,0.6931471805599453,not_threatened,non_group,0,0,0,0,0,1,1,9.435577490248928,2.4849066497880004,0,2,-1.037514333059482,0.7345727359841501,0.7363042814304313
Lontra_canadensis,2.302585092994046,not_threatened,non_group,1,2,1,0,0,7,2,9.383202411614885,2.090307294990142,4,13,0.5719235793746187,0.6821976573501072,0.3417049266325727
Lutra_lutra,2.9444389791664403,not_threatened,non_group,20,0,2,3,0,25,1,10.17287391197587,2.173057104613546,25,51,1.213777465547013,1.471869157711092,0.42445473625597674
Lycaon_pictus,2.6390573296152584,threatened,group,1,7,1,0,0,1,0,9.262902081584919,3.0933171370299632,9,10,0.9083958159958312,0.5618973273201409,1.3447147686723941
