hostName,logNumHostCitations,combIUCN,groupSizePriUng,bacteriaRich,virusRich,protozoaRich,fungusRich,prionRich,helminthRich,arthropodRich,logHostSpeciesRange,logHostMass,logGroupSizePriUng,parRich_micro,parRich_alltypes,logGroupSizePriUng_c,logNumHostCitations_c,logHostSpeciesRange_c,logHostMass_c
Alouatta_belzebul,1.0986122886681098,threatened,7.4,0,2,2,0,0,0,0,7.5521727185471335,1.8562979903656263,2.0014800002101243,4,4,-0.36213800705297006,0.08171937824754338,1.3793219631092581,0.7455613808402686
Alouatta_caraya,1.0986122886681098,not_threatened,8.9,0,0,1,0,0,3,1,7.336113658259158,1.7685761337723978,2.186051276738094,1,5,-0.17756673052500016,0.08171937824754338,1.163262902821283,0.6578395242470401
Alouatta_palliata,2.302585092994046,not_threatened,13.1,0,1,4,0,0,7,2,6.327141824976056,1.9844438130575563,2.5726122302071057,5,14,0.20899422294401138,1.2856921825734795,0.15429106953818028,0.8737072035321987
Alouatta_pigra,2.0794415416798357,threatened,5.5,1,3,4,0,0,3,0,4.515081351206406,1.9459101490553132,1.7047480922384253,8,11,-0.6588699150246691,1.0625486312592693,-1.6577694042314697,0.8351735395299555
Alouatta_seniculus,2.3978952727983707,not_threatened,7.9,0,2,8,0,0,3,0,8.338158387328084,1.8157201066728985,2.066862759472976,10,13,-0.2967552477901183,1.3810023623778043,2.165307631890209,0.7049834971475408
Aotus_nancymaae,0,not_threatened,4,0,0,0,0,0,3,0,5.0625064215061455,-0.2382571891242579,1.3862943611198906,0,3,-0.9773236461432038,-1.0168929104205664,-1.1103443339317298,-1.3489937986496157
Aotus_trivirgatus,1.3862943611198906,not_threatened,3.15,1,2,1,0,0,0,0,6.381717873842291,-0.10536051565782628,1.1474024528375417,4,4,-1.2162155544255526,0.3694014506993242,0.20886711840441574,-1.216097125183184
Aotus_vociferans,0.6931471805599453,not_threatened,3.3,0,0,1,0,0,2,0,7.111605913075913,-0.13581972314253485,1.1939224684724346,1,3,-1.1696955387906598,-0.3237457298606211,0.9387551576380373,-1.2465563326678926
Arctocebus_calabarensis,0,not_threatened,1,0,0,2,0,0,0,0,5.220863804143218,-1.5606477482646683,0,2,2,-2.3636180072630943,-1.0168929104205664,-0.951986951294657,-2.671384357790026
Ateles_geoffroyi,0.6931471805599453,threatened,42,0,1,0,0,0,2,0,6.692839040323956,1.6648536976673123,3.7376696182833684,1,3,1.374051611020274,-0.3237457298606211,0.5199882848860806,0.5541170881419546
Ateles_paniscus,1.9459101490553132,threatened,20,1,3,2,1,0,0,1,6.794177762719279,2.066875417620709,2.995732273553991,7,8,0.6321142662908965,0.9290172386347468,0.6213270072814039,0.9561388080953515
Brachyteles_arachnoides,1.0986122886681098,threatened,19.6,0,0,3,0,0,3,0,2.5145463549056863,2.6026822780095413,2.975529566236472,3,6,0.6119115589733775,0.08171937824754338,-3.658304400532189,1.4919456684841836
Cacajao_calvus,0,threatened,23.7,0,0,1,0,0,0,0,4.642648998297214,1.757168024458436,3.1654750481410856,1,1,0.8018570408779913,-1.0168929104205664,-1.5302017571406612,0.6464314149330783
Callicebus_brunneus,1.3862943611198906,not_threatened,2.5,0,0,6,0,0,0,0,4.924270980443257,-0.007629027164491163,0.9162907318741551,6,6,-1.4473272753889392,0.3694014506993242,-1.2485797749946181,-1.118365636689849
Callicebus_moloch,0,not_threatened,2.95,0,0,1,0,0,0,0,6.8150290578792205,-0.15700474881016474,1.0818051703517284,1,1,-1.281812836911366,-1.0168929104205664,0.6421783024413452,-1.2677413583355224
Callicebus_torquatus,0.6931471805599453,not_threatened,3.85,0,0,1,0,0,0,0,7.537636728063991,0.04879016416943205,1.3480731482996928,1,1,-1.0155448589634015,-0.3237457298606211,1.364785972626116,-1.0619464453559257
Callithrix_penicillata,0.6931471805599453,not_threatened,5.9,0,1,0,0,0,0,0,7.189524655849794,-1.0729445419195318,1.7749523509116738,1,1,-0.5886656563514205,-0.3237457298606211,1.0166739004119183,-2.1836811514448895
