"","hostName","dietBreadth","habitatBreadth","maxLongevity","popGrpSize","socGrpSize","popDenChange","Order.1.2","Family.1.2","Genus.1.2","IUCN.Status.1.2","Mass.g","Group","parasiteName","ParType","ParPhylum","Prevalence","HostsSampled","SamplingType","HostEnvironment","Citation","parRich"
"1","Acinonyx_jubatus",1,1,228,NA,NA,0.11,"Carnivora","Felidae","Acinonyx","VU",46700,"carnivores","Alphacoronavirus Alphacoronavirus 1","Virus","RNA virus",0.581,43,"Serology","terrestrial","Kennedy et al. 2003",99
"2","Acinonyx_jubatus",1,1,228,NA,NA,0.11,"Carnivora","Felidae","Acinonyx","VU",46700,"carnivores","Alphacoronavirus Alphacoronavirus 1","Virus","RNA virus",0.163,43,"PCR","terrestrial","Kennedy et al. 2003",99
"3","Acinonyx_jubatus",1,1,228,NA,NA,0.11,"Carnivora","Felidae","Acinonyx","VU",46700,"carnivores","Alphacoronavirus Alphacoronavirus 1","Virus","RNA virus",0.462,13,"Serology","terrestrial","Munson et al. 2004",99
"4","Acinonyx_jubatus",1,1,228,NA,NA,0.11,"Carnivora","Felidae","Acinonyx","VU",46700,"carnivores","Alphacoronavirus Alphacoronavirus 1","Virus","RNA virus",0.545,11,"Serology","terrestrial","Munson et al. 2004",99
"5","Acinonyx_jubatus",1,1,228,NA,NA,0.11,"Carnivora","Felidae","Acinonyx","VU",46700,"carnivores","Alphacoronavirus Alphacoronavirus 1","Virus","RNA virus",0.2,10,"Serology","terrestrial","Munson et al. 2004",99
"6","Acinonyx_jubatus",1,1,228,NA,NA,0.11,"Carnivora","Felidae","Acinonyx","VU",46700,"carnivores","Alphacoronavirus Alphacoronavirus 1","Virus","RNA virus",0.286,7,"Serology","terrestrial","Munson et al. 2004",99
"7","Acinonyx_jubatus",1,1,228,NA,NA,0.11,"Carnivora","Felidae","Acinonyx","VU",46700,"carnivores","Alphacoronavirus Alphacoronavirus 1","Virus","RNA virus",0.7,10,"Serology","terrestrial","Munson et al. 2004",99
"8","Acinonyx_jubatus",1,1,228,NA,NA,0.11,"Carnivora","Felidae","Acinonyx","VU",46700,"carnivores","Alphacoronavirus Alphacoronavirus 1","Virus","RNA virus",0.5,6,"Serology","terrestrial","Munson et al. 2004",99
"9","Acinonyx_jubatus",1,1,228,NA,NA,0.11,"Carnivora","Felidae","Acinonyx","VU",46700,"carnivores","Alphacoronavirus Alphacoronavirus 1","Virus","RNA virus",0.5,2,"Serology","terrestrial","Munson et al. 2004",99
"10","Acinonyx_jubatus",1,1,228,NA,NA,0.11,"Carnivora","Felidae","Acinonyx","VU",46700,"carnivores","Alphacoronavirus Alphacoronavirus 1","Virus","RNA virus",0.231,13,"Serology","terrestrial","Munson et al. 2004",99
"11","Acinonyx_jubatus",1,1,228,NA,NA,0.11,"Carnivora","Felidae","Acinonyx","VU",46700,"carnivores","Alphacoronavirus Alphacoronavirus 1","Virus","RNA virus",0.529,17,"Serology","terrestrial","Munson et al. 2004",99
"12","Acinonyx_jubatus",1,1,228,NA,NA,0.11,"Carnivora","Felidae","Acinonyx","VU",46700,"carnivores","Alphacoronavirus Alphacoronavirus 1","Virus","RNA virus",0.071,14,"Serology","terrestrial","Munson et al. 2004",99
