hostGroup,hostName,parasiteName,parType,parPhylum,prevalence,hostsSampled,samplingType,hostEnvironment,citation,parTransClose,nonclose,vector,intermediate,ParasiteTraitsCitation
carnivores,Acinonyx_jubatus,Alphacoronavirus Alphacoronavirus 1,Virus,RNA virus,0.581,43,Serology,terrestrial,Kennedy et al. 2003,0,1,0,0,"Hurst, C. J. 2000. Viral Ecology. Pg.538;Hurst, C. J. 2000. Viral Ecology. Pg.539"
carnivores,Acinonyx_jubatus,Alphacoronavirus Alphacoronavirus 1,Virus,RNA virus,0.163,43,PCR,terrestrial,Kennedy et al. 2003,0,1,0,0,"Hurst, C. J. 2000. Viral Ecology. Pg.538;Hurst, C. J. 2000. Viral Ecology. Pg.539"
carnivores,Acinonyx_jubatus,Alphacoronavirus Alphacoronavirus 1,Virus,RNA virus,0.462,13,Serology,terrestrial,Munson et al. 2004,0,1,0,0,"Hurst, C. J. 2000. Viral Ecology. Pg.538;Hurst, C. J. 2000. Viral Ecology. Pg.539"
carnivores,Acinonyx_jubatus,Alphacoronavirus Alphacoronavirus 1,Virus,RNA virus,0.545,11,Serology,terrestrial,Munson et al. 2004,0,1,0,0,"Hurst, C. J. 2000. Viral Ecology. Pg.538;Hurst, C. J. 2000. Viral Ecology. Pg.539"
carnivores,Acinonyx_jubatus,Alphacoronavirus Alphacoronavirus 1,Virus,RNA virus,0.2,10,Serology,terrestrial,Munson et al. 2004,0,1,0,0,"Hurst, C. J. 2000. Viral Ecology. Pg.538;Hurst, C. J. 2000. Viral Ecology. Pg.539"
carnivores,Acinonyx_jubatus,Alphacoronavirus Alphacoronavirus 1,Virus,RNA virus,0.286,7,Serology,terrestrial,Munson et al. 2004,0,1,0,0,"Hurst, C. J. 2000. Viral Ecology. Pg.538;Hurst, C. J. 2000. Viral Ecology. Pg.539"
carnivores,Acinonyx_jubatus,Alphacoronavirus Alphacoronavirus 1,Virus,RNA virus,0.7,10,Serology,terrestrial,Munson et al. 2004,0,1,0,0,"Hurst, C. J. 2000. Viral Ecology. Pg.538;Hurst, C. J. 2000. Viral Ecology. Pg.539"
carnivores,Acinonyx_jubatus,Alphacoronavirus Alphacoronavirus 1,Virus,RNA virus,0.5,6,Serology,terrestrial,Munson et al. 2004,0,1,0,0,"Hurst, C. J. 2000. Viral Ecology. Pg.538;Hurst, C. J. 2000. Viral Ecology. Pg.539"
carnivores,Acinonyx_jubatus,Alphacoronavirus Alphacoronavirus 1,Virus,RNA virus,0.5,2,Serology,terrestrial,Munson et al. 2004,0,1,0,0,"Hurst, C. J. 2000. Viral Ecology. Pg.538;Hurst, C. J. 2000. Viral Ecology. Pg.539"
carnivores,Acinonyx_jubatus,Alphacoronavirus Alphacoronavirus 1,Virus,RNA virus,0.231,13,Serology,terrestrial,Munson et al. 2004,0,1,0,0,"Hurst, C. J. 2000. Viral Ecology. Pg.538;Hurst, C. J. 2000. Viral Ecology. Pg.539"
