model,kfoldic,se.kfoldic.,weight
full_totrich_carngroup,555.509,49.462,0.999
simple_totrich_carngroup,569.211,46.472,0.001
simple_totrich_primgroup,338.434,38.883,0.846
full_totrich_primgroup,341.837,39.378,0.154
full_totrich_unggroup,517.02,39.685,1
simple_totrich_unggroup,533.672,35.84,0
full_parastrans_carngroup,233.941,17.572,0.952
simple_parastrans_carngroup,239.936,16.911,0.048
full_parastrans_primgroup,189.86,29.849,0.788
simple_parastrans_primgroup,192.483,31.899,0.212
full_parastrans_unggroup,221.995,25.217,0.992
simple_parastrans_unggroup,231.571,25.759,0.008
full_parastype_carngroup,388.9,32.879,0.994
simple_parastype_carngroup,399.196,36.59,0.006
simple_parastype_primgroup,305.911,22.52,0.9
full_parastype_primgroup,310.299,22.952,0.1
full_parastype_unggroup,517.675,70.538,1
simple_parastype_unggroup,578.356,81.536,0
