HostGroup,Indep.Var.,Estimate,Q2.5,Q97.5
Carnivores,Intercept,-0.52,-0.7,-0.34
Carnivores,combIUCNthreatened,-0.08,-0.67,0.49
Carnivores,logNumHostCitations_c,-0.14,-0.24,-0.05
Carnivores,groupSizeCargroup,0.05,-0.28,0.38
Carnivores,logHostSpeciesRange_c,-0.06,-0.14,0.01
Carnivores,logHostMass_c,0.17,0.1,0.25
Carnivores,combIUCNthreatened:logNumHostCitations_c,0.39,-0.04,0.82
Carnivores,combIUCNthreatened:groupSizeCargroup,0.68,-0.19,1.56
Primates,Intercept,0.57,0.26,0.9
Primates,combIUCNthreatened,0.23,-0.24,0.72
Primates,logNumHostCitations_c,0.27,-0.03,0.57
Primates,combIUCNthreatened:logNumHostCitations_c,-0,-0.41,0.41
Ungulates,Intercept,-1.07,-1.27,-0.88
Ungulates,combIUCNthreatened,-0.67,-1.23,-0.17
Ungulates,logNumHostCitations_c,0.38,0.25,0.5
Ungulates,logGroupSizePriUng_c,0.07,0,0.13
Ungulates,logHostSpeciesRange_c,-0.07,-0.15,0.01
Ungulates,logHostMass_c,0.46,0.35,0.59
Ungulates,combIUCNthreatened:logNumHostCitations_c,-0.12,-0.64,0.48
Ungulates,combIUCNthreatened:logGroupSizePriUng_c,0.03,-0.09,0.15
