HostGroup,Indep.Var.,Estimate,Q2.5,Q97.5
Carnivores,Intercept,-1.74,-1.99,-1.5
Carnivores,combIUCNthreatened,0.1,-0.66,0.81
Carnivores,logNumHostCitations_c,-0.3,-0.45,-0.17
Carnivores,groupSizeCargroup,0.16,-0.31,0.64
Carnivores,logHostSpeciesRange_c,-0.08,-0.18,0.02
Carnivores,logHostMass_c,0.21,0.09,0.33
Carnivores,combIUCNthreatened:logNumHostCitations_c,0.17,-0.36,0.73
Carnivores,combIUCNthreatened:groupSizeCargroup,-0.44,-1.56,0.61
Primates,Intercept,-2.52,-3.28,-1.86
Primates,combIUCNthreatened,-0.24,-1.36,0.84
Primates,logNumHostCitations_c,-0.36,-0.86,0.15
Primates,logGroupSizePriUng_c,0.77,0.25,1.32
Primates,logHostSpeciesRange_c,0.2,-0.02,0.43
Primates,logHostMass_c,0.52,0.18,0.87
Primates,combIUCNthreatened:logNumHostCitations_c,0.32,-0.42,1.05
Primates,combIUCNthreatened:logGroupSizePriUng_c,-0.82,-1.5,-0.14
Ungulates,Intercept,-1.95,-2.21,-1.7
Ungulates,combIUCNthreatened,-2.18,-5.38,-0.39
Ungulates,logNumHostCitations_c,0.01,-0.16,0.18
Ungulates,logGroupSizePriUng_c,0.09,-0,0.18
Ungulates,logHostSpeciesRange_c,-0.06,-0.16,0.05
Ungulates,logHostMass_c,0.11,-0.06,0.27
Ungulates,combIUCNthreatened:logNumHostCitations_c,2.81,0.39,7.21
Ungulates,combIUCNthreatened:logGroupSizePriUng_c,-0.23,-0.57,0.02
