HostGroup,Indep.Var.,Estimate,Q2.5,Q97.5
Carnivores,Intercept,-0.52,-0.7,-0.34
Carnivores,combIUCNthreatened,-0.08,-0.67,0.49
Carnivores,logNumHostCitations_c,-0.14,-0.24,-0.05
Carnivores,groupSizeCargroup,0.05,-0.28,0.38
Carnivores,logHostSpeciesRange_c,-0.06,-0.14,0.01
Carnivores,logHostMass_c,0.17,0.1,0.25
Carnivores,combIUCNthreatened:logNumHostCitations_c,0.39,-0.04,0.82
Carnivores,combIUCNthreatened:groupSizeCargroup,0.68,-0.19,1.56
Primates,Intercept,0.4,0.05,0.76
Primates,combIUCNthreatened,0.79,0.15,1.45
Primates,logNumHostCitations_c,0.33,-0.01,0.66
Primates,logGroupSizePriUng_c,-0.17,-0.48,0.13
Primates,logHostSpeciesRange_c,0.18,0.03,0.33
Primates,logHostMass_c,-0.12,-0.33,0.07
Primates,combIUCNthreatened:logNumHostCitations_c,-0.04,-0.51,0.43
Primates,combIUCNthreatened:logGroupSizePriUng_c,-0.2,-0.69,0.26
Ungulates,Intercept,-1.07,-1.27,-0.88
Ungulates,combIUCNthreatened,-0.67,-1.23,-0.17
Ungulates,logNumHostCitations_c,0.38,0.25,0.5
Ungulates,logGroupSizePriUng_c,0.07,0,0.13
Ungulates,logHostSpeciesRange_c,-0.07,-0.15,0.01
Ungulates,logHostMass_c,0.46,0.35,0.59
Ungulates,combIUCNthreatened:logNumHostCitations_c,-0.12,-0.64,0.48
Ungulates,combIUCNthreatened:logGroupSizePriUng_c,0.03,-0.09,0.15
