HostGroup,Indep.Var.,Estimate,Q2.5,Q97.5
Carnivores,Intercept,2.48,2.39,2.57
Carnivores,combIUCNthreatened,-0.42,-0.76,-0.1
Carnivores,logNumHostCitations_c,0.8,0.75,0.84
Carnivores,groupSizeCargroup,-0.28,-0.44,-0.12
Carnivores,logHostSpeciesRange_c,-0.02,-0.05,0.02
Carnivores,logHostMass_c,-0.02,-0.06,0.02
Carnivores,combIUCNthreatened:logNumHostCitations_c,0.39,0.13,0.68
Carnivores,combIUCNthreatened:groupSizeCargroup,-0.35,-0.79,0.08
Primates,Intercept,1.21,0.98,1.43
Primates,combIUCNthreatened,-0.28,-0.67,0.09
Primates,logNumHostCitations_c,0.95,0.77,1.14
Primates,logGroupSizePriUng_c,0.14,-0.03,0.3
Primates,logHostSpeciesRange_c,-0.08,-0.15,-0.01
Primates,logHostMass_c,0.05,-0.05,0.15
Primates,combIUCNthreatened:logNumHostCitations_c,0.2,-0.06,0.47
Primates,combIUCNthreatened:logGroupSizePriUng_c,-0.31,-0.54,-0.08
Ungulates,Intercept,2.82,2.74,2.89
Ungulates,combIUCNthreatened,0.11,-0.1,0.32
Ungulates,logNumHostCitations_c,0.71,0.67,0.76
Ungulates,logGroupSizePriUng_c,0,-0.03,0.03
Ungulates,logHostSpeciesRange_c,-0.04,-0.07,0
Ungulates,logHostMass_c,-0.06,-0.12,-0.01
Ungulates,combIUCNthreatened:logNumHostCitations_c,0.15,-0.06,0.37
Ungulates,combIUCNthreatened:logGroupSizePriUng_c,-0.07,-0.13,-0.01
